outbound_no,goods_no,zone_no,aisles_no,cell_no,aisles_seq,locate_qty,goods_volume,goods_weight
O1,12512614,4C,504C-0V,4CV163,2472,2,1,0.1
O2,11510359,4C,504C-0R,4CR032,2468,38,1562880,0.1
O3,13092864,4E,504E-0L,4EL683,2532,1,675000,0.62
O4,13218146,4D,504D-0P,4DP824,2501,2,336700,0.255
O5,12686110,4E,504E-0L,4EL133,2532,1,2,0.2
O6,13264800,4C,504C-0R,4CR274,2468,1,1,0.1
O7,12907618,4E,504E-0B,4EB775,2522,1,1,0.1
O8,12752777,4D,504D-0D,4DD071,2489,1,865800,0.715
O9,12673743,4D,504D-03,4D3282,2479,1,188370,0.165
O10,13071748,4D,504D-0S,4DS051,2504,1,240500,0.175
O8,13013526,4D,504D-09,4D9547,2485,1,1,0.1
O6,13264856,4D,504D-07,4D7464,2483,1,1428000,0.45
O11,12252225,4D,504D-0Y,4DY155,2510,1,463050,0.24
O12,13263138,4E,504E-0L,4EL622,2532,1,1,0.1
O3,13267956,4E,504E-07,4E7974,2518,1,1487550,0.49
O6,13264866,4C,504C-0R,4CR311,2468,1,1419579,0.52
O13,12077856,4E,504E-03,4E3504,2514,12,766080,0.1
O14,12204868,4D,504D-0C,4DC112,2488,3,1,0.1
O11,13230576,4C,504C-0T,4CT374,2470,1,1,0.1
O15,12609360,4D,504D-0A,4DA372,2486,1,426300,0.255
O16,12707465,4D,504D-0D,4DD815,2489,2,57400,0.05
O17,13291592,4D,504D-0I,4DI523,2494,14,962000,0.6
O18,13291592,4D,504D-0I,4DI523,2494,10,962000,0.6
O19,13291592,4D,504D-0I,4DI523,2494,5,962000,0.6
O5,12670639,4D,504D-05,4D5652,2481,1,183195,0.26
O20,13291592,4D,504D-0I,4DI523,2494,14,962000,0.6
O21,12507210,4C,504C-0U,4CU416,2471,1,1102080,0.685
O22,12747143,4D,504D-0T,4DT113,2505,10,620490,0.58
O23,11948013,4E,504E-05,4E5141,2516,3,376832,0.1
O24,12921746,4E,504E-0H,4EH021,2528,1,575640,0.35
O25,12708353,4C,504C-0T,4CT353,2470,1,1677900,1.17
O26,13221640,4E,504E-05,4E5724,2516,1,1,0.1
O27,12498768,4E,504E-09,4E9911,2520,2,1,0.1
O21,12666657,4D,504D-0M,4DM486,2498,1,495600,0.34
O28,11993234,4D,504D-07,4D7122,2483,1,1203600,0.2
O3,12777807,4D,504D-0D,4DD476,2489,1,444318,0.32
O29,12677839,4D,504D-0C,4DC735,2488,1,481000,0.28
O30,11993234,4D,504D-07,4D7122,2483,1,1203600,0.2
O12,13280382,4D,504D-0S,4DS342,2504,1,1534000,0.39
O24,12653054,4D,504D-0N,4DN461,2499,1,694980,0.38
O31,12677839,4D,504D-0C,4DC735,2488,2,481000,0.28
O29,12901398,4E,504E-0N,4EN295,2534,1,240870,0.15
O13,12077856,4E,504E-03,4E3484,2514,12,766080,0.1
O15,12975314,4D,504D-0M,4DM115,2498,1,312800,0.305
O32,13218112,4C,504C-0Z,4CZ154,2476,9,1035000,0.24
O33,12622642,4C,504C-0Y,4CY725,2475,5,336700,0.32
O9,13306484,4C,504C-0Y,4CY936,2475,1,937508,0.26
O34,12663300,4C,504C-0S,4CS932,2469,2,3,0.2
O26,12715665,4D,504D-03,4D3025,2479,1,932400,0.75
O6,13264828,4D,504D-0W,4DW113,2508,1,3717000,0.47
O25,12402923,4D,504D-0H,4DH074,2493,1,1,0.1
O28,12101668,4C,504C-0Y,4CY547,2475,1,586560,0.1
O35,12418190,4D,504D-01,4D1972,2477,3,1,0.1
O36,12902220,4D,504D-0N,4DN391,2499,2,247800,0.205
O37,12707463,4D,504D-0W,4DW711,2508,4,57400,0.05
O10,12477869,4E,504E-0N,4EN101,2534,1,1,0.1
O30,13184886,4D,504D-05,4D5273,2481,1,1,0.1
O36,12858732,4C,504C-0V,4CV331,2472,1,408000,0.48
O30,13184734,4D,504D-0A,4DA531,2486,1,1,0.1
O38,12546329,4D,504D-0N,4DN573,2499,15,1,0.1
O7,12907652,4E,504E-0B,4EB161,2522,2,1,0.1
O39,12686110,4E,504E-0L,4EL133,2532,2,2,0.2
O40,13102620,4D,504D-01,4D1766,2477,2,645000,0.515
O41,12910522,4B,504B-0W,4BW051,2438,4,190920,0.27
O42,12631836,4C,504C-0G,4CG682,2457,2,954240,1.0
O43,12631836,4C,504C-0G,4CG682,2457,1,954240,1.0
O44,12836095,4C,504C-0Z,4CZ033,2476,1,526240,0.235
O45,12507226,4B,504B-0R,4BR155,2433,1,1227600,0.725
O46,12356844,4D,504D-0C,4DC111,2488,1,1,0.1
O47,13008138,4C,504C-0D,4CD235,2454,1,1,0.1
O48,13218112,4C,504C-0Z,4CZ154,2476,1,2070000,0.48
O49,11993234,4D,504D-07,4D7122,2483,1,601800,0.1
O50,12882000,4C,504C-0J,4CJ781,2460,1,1,1.0
O51,12909540,4B,504B-0Q,4BQ807,2432,11,294000,0.27
O52,12631836,4C,504C-0G,4CG682,2457,2,954240,1.0
O49,13166882,4C,504C-05,4C5622,2446,1,312900,0.375
O53,12785856,4C,504C-0F,4CF072,2456,1,1,0.1
O54,12415886,4C,504C-0N,4CN814,2464,12,2256408,1.83
O55,11913686,4C,504C-0E,4CE641,2455,2,1064448,0.2
O56,12041147,4C,504C-0O,4CO623,2465,2,1,0.1
O43,12305395,4C,504C-0V,4CV302,2472,1,1,0.1
O57,12229986,4C,504C-06,4C6434,2447,10,1,0.1
O46,11913686,4C,504C-0E,4CE641,2455,1,1064448,0.2
O58,12635117,4C,504C-0T,4CT144,2470,1,1,0.1
O59,12151801,4C,504C-02,4C2061,2443,1,1,0.1
O60,12512614,4C,504C-0V,4CV163,2472,1,1,0.1
O61,12837911,4C,504C-04,4C4293,2445,1,332640,0.66
O62,12519299,4D,504D-0K,4DK134,2496,8,1260960,0.717
O48,12631836,4C,504C-0G,4CG682,2457,1,954240,1.0
O63,13040630,4C,504C-0S,4CS864,2469,1,1197000,0.965
O64,11267015,4D,504D-0G,4DG541,2492,42,551936,0.1
O65,12958956,4C,504C-0J,4CJ103,2460,1,821288,0.545
O66,13306484,4C,504C-0Y,4CY936,2475,1,937508,0.26
O66,12944358,4C,504C-0E,4CE123,2455,1,192400,0.15
O67,12562246,4C,504C-02,4C2392,2443,3,2,0.2
O68,12562246,4C,504C-02,4C2392,2443,8,2,0.2
O69,12610646,4B,504B-0Y,4BY236,2440,1,345800,0.35
O64,11267015,4C,504C-0B,4CB152,2452,42,551936,0.1
O44,13218122,4C,504C-0D,4CD995,2454,1,1002708,0.26
O45,12858067,4C,504C-0C,4CC322,2453,1,1258884,0.23
O70,12945762,4B,504B-0R,4BR382,2433,1,57400,0.06
O50,12693599,4D,504D-01,4D1377,2477,1,311850,0.375
O58,12852706,4C,504C-0K,4CK022,2461,1,187110,0.17
O60,12375291,4C,504C-0O,4CO256,2465,1,1,0.1
O61,13209230,4B,504B-0R,4BR524,2433,2,375480,0.56
O61,13209308,4C,504C-0N,4CN295,2464,1,1,0.1
O71,12677839,4D,504D-0C,4DC735,2488,1,481000,0.28
O72,13218112,4C,504C-0Z,4CZ154,2476,1,2070000,0.48
O53,12677839,4D,504D-0C,4DC735,2488,1,481000,0.28
O73,13218128,4C,504C-0L,4CL842,2462,9,5071500,1.15
O66,12918002,4B,504B-0T,4BT524,2435,1,436914,0.3
O47,12502977,4C,504C-0W,4CW136,2473,1,1,0.1
O70,12619669,4C,504C-0C,4CC015,2453,1,1,1.0
O65,12883646,4D,504D-0E,4DE494,2490,1,1,1.0
O59,12305431,4B,504B-0N,4BN113,2429,1,1,0.1
O74,13218128,4C,504C-0L,4CL842,2462,13,5071500,1.15
O75,12689355,4C,504C-03,4C3873,2444,25,390320,0.29
O72,13218128,4C,504C-0L,4CL842,2462,1,5071500,1.15
O69,12715663,4C,504C-09,4C9316,2450,1,1,0.1
O76,13218128,4C,504C-0L,4CL842,2462,9,5071500,1.15
O77,12902196,4C,504C-0P,4CP402,2466,1,495600,0.5
O69,12715665,4D,504D-03,4D3025,2479,1,932400,0.75
O63,13040632,4C,504C-0C,4CC774,2453,1,1077300,0.87
O78,12902196,4C,504C-0P,4CP402,2466,1,495600,0.5
O79,13218128,4C,504C-0L,4CL842,2462,13,5071500,1.15
O80,12255516,4B,504B-0X,4BX422,2439,39,1,0.1
O71,12943920,4B,504B-0N,4BN352,2429,1,1982880,0.9
O62,12519299,4C,504C-0A,4CA492,2451,8,1260960,0.717
O77,12678329,4C,504C-01,4C1962,2442,1,495600,0.4
O78,12678329,4C,504C-01,4C1962,2442,2,495600,0.4
O44,12402879,4C,504C-01,4C1382,2442,1,1,0.1
O81,12764362,4J,504J-01,4J1731,2652,1,1,0.1
